Administrative_Region,Total_Agencies,Total_Competitors,RMA_Offices_Count,Unique_Mandantes_Including_RMA,Provinces_Count
Tanger-Tétouan-Al Hoceïma,257,225,32,12,8
L’Oriental,189,162,27,11,8
Fès-Meknès,309,284,25,13,9
Rabat-Salé-Kénitra,417,376,41,12,7
Béni Mellal-Khénifra,97,90,7,10,5
Casablanca-Settat,832,756,76,19,9
Drâa-Tafilalet,76,65,11,9,5
Souss-Massa,207,183,24,11,6
Guelmim-Oued Noun,18,17,1,9,4
Laâyoune-Sakia El Hamra,32,30,2,8,4
Dakhla-Oued Ed-Dahab,5,5,0,4,2
Marrakech-Safi,261,225,36,10,8
