Collectivités territoriales,Marocains,Étrangers,Population,Ménages,regionarabe,Code géographique
Préfecture de Tanger-Assilah,1487175,7238,1494413,418844,عمالة طنجة-أصيلة,1511.000
Préfecture de M'diq-Fnideq,253388,676,254064,67797,عمالة المضيق-الفنيدق,1573.000
Province de Tétouan,610757,1171,611928,157384,إقليم تطوان,1571.000
Province de Fahs-Anjra,100700,89,100789,25160,إقليم الفحص-أنجرة,1227.000
Province de Larache,510017,194,510211,124642,إقليم العرائش,1331.000
Province d'Al Hoceima,371391,136,371527,89181,إقليم الحسيمة,1051.000
Province de Chefchaouen,412617,96,412713,90956,إقليم شفشاون,1151.000
Province d'Ouezzane,274500,77,274577,74896,إقليم وزان,1405.000
Préfecture d'Oujda-Angad,570230,2224,572454,148929,عمالة وجدة-أنجاد,2411.000
Province de Nador,565542,445,565987,146090,إقليم الناضور,2381.000
Province de Driouch,188047,144,188191,48849,إقليم الدريوش,2167.000
Province de Jerada,103413,114,103527,23833,إقليم جرادة,2275.000
Province de Berkane,283538,523,284061,75643,إقليم بركان,2113.000
Province de Taourirt,220062,95,220157,50028,إقليم تاوريرت,2533.000
Province de Guercif,215804,33,215837,47538,إقليم جرسيف,2265.000
Province de Figuig,144404,47,144451,34105,إقليم فجيج,2251.000
Préfecture de Fès,1252340,3832,1256172,329286,عمالة فاس,3231.000
Préfecture de Meknès,940900,2045,942945,248296,عمالة مكناس,3061.000
Province d'El Hajeb,267098,58,267156,66258,إقليم الحاجب,3171.000
Province d'Ifrane,160700,204,160904,42684,إقليم إفران,3271.000
Province de Moulay Yacoub,216789,165,216954,46348,إقليم مولاي يعقوب,3591.000
Province de Sefrou,304552,196,304748,81262,إقليم صفرو,3451.000
Province de Boulemane,205377,34,205411,48509,إقليم بولمان,3131.000
Province de Taounate,612582,68,612650,147051,إقليم تاونات,3531.000
Province de Taza,500844,127,500971,126023,إقليم تازة,3561.000
Préfecture de Rabat,501005,14614,515619,157183,عمالة الرباط,4421.000
Préfecture de Salé,1082784,6770,1089554,290311,عمالة سلا,4441.000
Préfecture de Skhirate-Témara,779044,4431,783475,208316,عمالة الصخيرات-تمارة,4501.000
Province de Kénitra,1281256,2991,1284247,300046,إقليم القنيطرة,4281.000
Province de Khémisset,562745,291,563036,146516,إقليم الخميسات,4291.000
Province de Sidi Kacem,545426,83,545509,122538,إقليم سيدي قاسم,4481.000
Province de Sidi Slimane,351146,53,351199,76582,إقليم سيدي سليمان,4491.000
Province de Béni Mellal,579729,598,580327,150397,إقليم بني ملال,5091.000
Province d'Azilal,574051,61,574112,121842,إقليم أزيلال,5081.000
Province de Fquih Ben Salah,475893,84,475977,111668,إقليم الفقيه بن صالح,5255.000
Province de Khénifra,370156,84,370240,100159,إقليم خنيفرة,5301.000
Province de Khouribga,524712,433,525145,132500,إقليم خريبكة,5311.000
Préfecture de Casablanca,3172072,45964,3218036,909829,عمالة الدار البيضاء,6141.000
Préfecture de Mohammadia,510951,3106,514057,137265,عمالة المحمدية,6371.000
Province d'El Jadida,912835,1532,914367,221678,إقليم الجديدة,6181.000
Province de Nouaceur,665135,7189,672324,183539,إقليم النواصر,6385.000
Province de Médiouna,345507,280,345787,88190,إقليم مديونة,6355.000
Province de Benslimane,278768,749,279517,69353,إقليم بنسليمان,6111.000
Province de Berrechid,639618,1039,640657,160957,إقليم برشيد,6117.000
Province de Settat,651327,965,652292,148224,إقليم سطات,6461.000
Province de Sidi Bennour,451852,78,451930,101997,إقليم سيدي بنور,6467.000
Préfecture de Marrakech,1560704,10876,1571580,402389,عمالة مراكش,7351.000
Province de Chichaoua,378932,147,379079,92262,إقليم شيشاوة,7161.000
Province d'Al Haouz,642171,644,642815,147971,إقليم الحوز,7041.000
Province d'El Kelâa Des-Sraghna,560075,198,560273,125161,إقليم قلعة السراغنة,7191.000
Province d'Essaouira,425449,1270,426719,111602,إقليم الصويرة,7211.000
Province de Rehamna,345772,336,346108,76166,إقليم الرحامنة,7427.000
Province de Safi,719299,372,719671,175259,إقليم آسفي,7431.000
Province de Youssoufia,246098,50,246148,55055,إقليم اليوسفية,7585.000
Province d'Errachidia,427309,263,427572,90107,إقليم الرشيدية,8201.000
Province d'Ouarzazate,304760,172,304932,66420,إقليم ورزازات,8401.000
Province de Midelt,313627,142,313769,73708,إقليم ميدلت,8363.000
Province de Tinghir,323764,41,323805,62123,إقليم تنغير,8577.000
Province de Zagora,285482,63,285545,46619,إقليم زاكورة,8587.000
Préfecture d'Agadir-Ida-Ou-Tanane,716940,4491,721431,197248,عمالة أكادير-إدا وتنان,9001.000
Préfecture d'Inezgane-Aït Melloul,634881,2035,636916,161551,عمالة إنزكان-آيت ملول,9273.000
Province de Chtouka-Aït Baha,486825,6798,493623,133727,إقليم اشتوكة-آيت باها,9163.000
Province de Taroudannt,857673,489,858162,209341,إقليم تارودانت,9541.000
Province de Tiznit,198367,175,198542,57811,إقليم تيزنيت,9581.000
Province de Tata,111744,13,111757,25530,إقليم طاطا,9551.000
Province de Guelmim,195919,348,196267,47250,إقليم كلميم,10261.000
Province d'Assa-Zag,53289,9,53298,6297,إقليم آسا-الزاك,10071.000
Province de Tan-Tan,94433,86,94519,23308,إقليم طانطان,10521.000
Province de Sidi Ifni,104511,90,104601,28539,إقليم سيدي إفني,10473.000
Province de Laâyoune,293896,1659,295555,73866,إقليم العيون,11321.000
Province de Boujdour,65341,40,65381,14429,إقليم بوجدور,11121.000
Province de Tarfaya,16206,22,16228,4328,إقليم طرفاية,11537.000
Province d'Es-Semara,73813,51,73864,14128,إقليم السمارة,11221.000
Province d'Oued Ed-Dahab,189754,5713,195467,51740,إقليم وادي الذهب,12391.000
Province d'Aousserd,24365,133,24498,2421,إقليم أوسرد,12066.000
